source_record_id,source_id,evidence_class,longitude,latitude,water_depth_m,cruise,station_id,event_id,sample_datetime_utc,sample_method,sampled_area_m2,abundance_value_original,abundance_unit_original,abundance_basis,nodule_mass_kg,abundance_kg_m2,nodule_count,nodule_density_m2,visible_cover_percent,mean_nodule_mass_g,mn_pct,ni_pct,cu_pct,co_pct,derivation_formula,observation_or_prediction,is_open,quality_grade,duplicate_group_id,qa_status,notes
src_so268_boxcore_COUNT_000000,src_so268_boxcore,COUNT,-117.0272,11.9313,4051.0,SO268/1,,SO268/1_12-2,2019-03-02T00:00:00,box_corer,0.25,,,,,13.52,117.0,468.0,,28.88888888888889,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000000,flagged,"source header flags this event ""GER Trial; failed"" (failed recovery); duplicate of src_so268_nodules_COUNT_000000 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000001,src_so268_boxcore,COUNT,-117.0255,11.9298,4090.0,SO268/1,,SO268/1_15-3,2019-03-04T00:00:00,box_corer,0.25,,,,,15.02,78.0,316.0,,47.53164556962025,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000001,pending,"duplicate of src_so268_nodules_COUNT_000001 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000002,src_so268_boxcore,COUNT,-117.0273,11.9311,4088.0,SO268/1,,SO268/1_24-3,2019-03-06T00:00:00,box_corer,0.25,,,,,19.52,85.0,340.0,,57.411764705882355,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000002,pending,"duplicate of src_so268_nodules_COUNT_000002 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000003,src_so268_boxcore,COUNT,-117.0304,11.9339,4085.0,SO268/1,,SO268/1_27-1,2019-03-06T00:00:00,box_corer,0.25,,,,,25.32,105.0,420.0,,60.285714285714285,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000003,pending,"duplicate of src_so268_nodules_COUNT_000003 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000004,src_so268_boxcore,COUNT,-117.0219,11.9271,4093.0,SO268/1,,SO268/1_28-1,2019-03-06T00:00:00,box_corer,0.25,,,,,21.08,110.0,440.0,,47.90909090909091,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000004,pending,"duplicate of src_so268_nodules_COUNT_000004 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000005,src_so268_boxcore,COUNT,-117.0181,11.9244,4096.0,SO268/1,,SO268/1_33-1,2019-03-08T00:00:00,box_corer,0.25,,,,,20.58,109.0,436.0,,47.20183486238532,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000005,pending,"duplicate of src_so268_nodules_COUNT_000005 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000006,src_so268_boxcore,COUNT,-117.0224,11.9306,4089.0,SO268/1,,SO268/1_44-2,2019-03-10T00:00:00,box_corer,0.25,,,,,14.708,93.0,372.0,,39.53763440860215,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000006,pending,"duplicate of src_so268_nodules_COUNT_000006 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000007,src_so268_boxcore,COUNT,-125.8712,14.1134,4507.0,SO268/1,,SO268/1_52-1,2019-03-14T00:00:00,box_corer,0.25,,,,,22.52,19.0,76.0,,296.3157894736842,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000007,pending,"duplicate of src_so268_nodules_COUNT_000007 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000008,src_so268_boxcore,COUNT,-125.8743,14.1119,4485.0,SO268/1,,SO268/1_53-1,2019-03-15T00:00:00,box_corer,0.25,,,,,24.32,28.0,112.0,,217.14285714285714,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000008,pending,"duplicate of src_so268_nodules_COUNT_000008 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000009,src_so268_boxcore,COUNT,-125.8641,14.1082,4512.0,SO268/1,,SO268/1_60-1,2019-03-16T00:00:00,box_corer,0.25,,,,,25.0,28.0,112.0,,223.21428571428572,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000009,pending,"duplicate of src_so268_nodules_COUNT_000009 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000010,src_so268_boxcore,COUNT,-125.8721,14.1145,4500.0,SO268/1,,SO268/1_61-1,2019-03-16T00:00:00,box_corer,0.25,,,,,21.06,19.0,76.0,,277.10526315789474,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000010,pending,"duplicate of src_so268_nodules_COUNT_000010 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
