/* DATA DESCRIPTION:
Citation:	Schoening, Timm; Gazis, Iason-Zois (2019): Summary of sizes, weights, counts and coverage of poly-metallic nodules from box cores taken during SONNE cruises SO268/1 and SO268/2 [dataset]. GEOMAR - Helmholtz Centre for Ocean Research Kiel, PANGAEA, https://doi.org/10.1594/PANGAEA.904967
Abstract:	Aggregation of single nodule measurements (see https://doi.pangaea.de/10.1594/PANGAEA.904962) to values describing the entire box corer:
	- Nodules [#]: Total number of nodules sampled in the box corer (N). Includes surface nodules (N_s) and those from deeper layers (N_d)
	- Nodules [#](buried): Number of nodules from deeper layers (N_d) in the box corer that were not visible on the sea floor surface
	- Nodules size [cm^2]: The area A_i [cm^2] of an individual nodule n_i was computed from its two main axes (a_i [mm] & b_i [mm]) and the ellipsoidal formula (A_i = pi * a_i/2 * b_i/2 * 0.01). The value given here represents the median value of all nodule sizes in this box corer (Nodules size [cm^2] = MEDIAN(A_i,i=1..N)
	- Nodules m [kg]: Sum of the weights w_i [g] of all nodules in the box corer (surface and deeper layers; Nodules m [kg] = SUM(n_i,i=1..N)) * 0.001. To quantify nodule abundance per square meter, multiply this value by 4!
	- Nodules [%]: The sum of all nodule sizes A_i [cm^2] (i=1..N_s) visible at the seafloor, divided by the area of the box corer (50x50 cm^2): Nodules [%] = SUM(A_i,i=1..N_s) / 2500
Keyword(s):	CCZ; Clarion Clipperton Fracture Zone; manganese nodules; polymetallic nodules
Related to:	Schoening, Timm; Gazis, Iason-Zois (2019): Sizes, weights and volumes of poly-metallic nodules from box cores taken during SONNE cruises SO268/1 and SO268/2 [dataset]. GEOMAR - Helmholtz Centre for Ocean Research Kiel, PANGAEA, https://doi.org/10.1594/PANGAEA.904962
Project(s):	JPI Oceans - Ecological Aspects of Deep-Sea Mining (JPIO-MiningImpact) (URI: https://miningimpact.geomar.de)
Coverage:	MEDIAN LATITUDE: 12.732274 * MEDIAN LONGITUDE: -120.476911 * SOUTH-BOUND LATITUDE: 11.836900 * WEST-BOUND LONGITUDE: -125.929017 * NORTH-BOUND LATITUDE: 14.116733 * EAST-BOUND LONGITUDE: -117.011183
	DATE/TIME START: 2019-03-02T00:56:37 * DATE/TIME END: 2019-05-16T03:39:52
	MINIMUM DEPTH, sediment/rock: 0 m * MAXIMUM DEPTH, sediment/rock: 0 m
Event(s):	SO268/1_12-2 (BC-02) * LATITUDE: 11.931333 * LONGITUDE: -117.027183 * DATE/TIME: 2019-03-02T00:56:37 * ELEVATION: -4051.3 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Trial; failed
	SO268/1_15-3 (BC-06) * LATITUDE: 11.929833 * LONGITUDE: -117.025500 * DATE/TIME: 2019-03-04T00:24:31 * ELEVATION: -4089.8 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Trial; Position USBL
	SO268/1_24-3 (BC-09) * LATITUDE: 11.931067 * LONGITUDE: -117.027350 * DATE/TIME: 2019-03-06T00:59:28 * ELEVATION: -4087.6 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Trial; Position USBL
	SO268/1_27-1 (BC-10) * LATITUDE: 11.933867 * LONGITUDE: -117.030383 * DATE/TIME: 2019-03-06T07:03:24 * ELEVATION: -4085.3 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Trial; Position USBL
	SO268/1_28-1 (BC-11) * LATITUDE: 11.927100 * LONGITUDE: -117.021883 * DATE/TIME: 2019-03-06T10:08:58 * ELEVATION: -4093.2 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Trial; Position USBL
	SO268/1_33-1 (BC-12) * LATITUDE: 11.924433 * LONGITUDE: -117.018083 * DATE/TIME: 2019-03-08T05:59:26 * ELEVATION: -4096.1 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Trial
	SO268/1_44-2 (BC-14) * LATITUDE: 11.930583 * LONGITUDE: -117.022367 * DATE/TIME: 2019-03-10T20:29:16 * ELEVATION: -4089.1 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Trial; Position USBL
	SO268/1_52-1 (BC-15) * LATITUDE: 14.113400 * LONGITUDE: -125.871217 * DATE/TIME: 2019-03-14T21:33:31 * ELEVATION: -4506.6 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Trial; Position USBL
	SO268/1_53-1 (BC-16) * LATITUDE: 14.111883 * LONGITUDE: -125.874300 * DATE/TIME: 2019-03-15T01:39:00 * ELEVATION: -4484.9 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Trial; Position USBL
